"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2291","email non actif - avertissement affiché","firefox","Thu Oct 16 21:56:54 GMT 2025","passed","Thu Oct 16 21:56:56 GMT 2025","Mot de passe oublié","login/Forgot-password.spec.ts","",""
"","30115","Filter by country","firefox","Thu Oct 16 21:58:01 GMT 2025","broken","Thu Oct 16 21:58:31 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","30119","Filter by code - valid supplier","firefox","Thu Oct 16 21:57:30 GMT 2025","broken","Thu Oct 16 21:58:00 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","30058","mdp non identique - message d’erreur cohérent","firefox","Thu Oct 16 21:56:58 GMT 2025","broken","Thu Oct 16 21:57:28 GMT 2025","Mot de passe oublié","login/Forgot-password.spec.ts","",""
"","31790","Filter by active contracts","webkit","Thu Oct 16 22:00:57 GMT 2025","broken","Thu Oct 16 22:01:28 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","2138","email erroné ou inexistant - erreur affichée","chromium","Thu Oct 16 21:54:41 GMT 2025","passed","Thu Oct 16 21:54:44 GMT 2025","Mot de passe oublié","login/Forgot-password.spec.ts","",""
"","31839","mdp non identique - message d’erreur cohérent","chromium","Thu Oct 16 21:54:42 GMT 2025","broken","Thu Oct 16 21:55:14 GMT 2025","Mot de passe oublié","login/Forgot-password.spec.ts","",""
"","31409","Create new supplier","chromium","Thu Oct 16 21:54:56 GMT 2025","broken","Thu Oct 16 21:55:28 GMT 2025","Suppliers module","suppliers/createsuplier.spec.ts","",""
"","31669","Filter by category","webkit","Thu Oct 16 22:00:50 GMT 2025","broken","Thu Oct 16 22:01:22 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","31683","Filter by name - partial match","webkit","Thu Oct 16 22:00:17 GMT 2025","broken","Thu Oct 16 22:00:49 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","2267","email erroné ou inexistant - erreur affichée","firefox","Thu Oct 16 21:56:56 GMT 2025","passed","Thu Oct 16 21:56:58 GMT 2025","Mot de passe oublié","login/Forgot-password.spec.ts","",""
"","31662","Create new supplier","webkit","Thu Oct 16 21:59:45 GMT 2025","broken","Thu Oct 16 22:00:17 GMT 2025","Suppliers module","suppliers/createsuplier.spec.ts","",""
"","30120","Filter by name - partial match","firefox","Thu Oct 16 21:57:52 GMT 2025","broken","Thu Oct 16 21:58:22 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","3224","email valide - lien envoyé","firefox","Thu Oct 16 21:56:50 GMT 2025","passed","Thu Oct 16 21:56:53 GMT 2025","Mot de passe oublié","login/Forgot-password.spec.ts","",""
"","7440","should login successfully with valid credentials","chromium","Thu Oct 16 21:54:44 GMT 2025","failed","Thu Oct 16 21:54:51 GMT 2025","Login Tests","login/login.spec.ts","",""
"","4155","email erroné ou inexistant - erreur affichée","webkit","Thu Oct 16 21:59:15 GMT 2025","passed","Thu Oct 16 21:59:19 GMT 2025","Mot de passe oublié","login/Forgot-password.spec.ts","",""
"","31758","Filter by code - valid supplier","webkit","Thu Oct 16 21:59:52 GMT 2025","broken","Thu Oct 16 22:00:23 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","2540","email valide - lien envoyé","chromium","Thu Oct 16 21:54:39 GMT 2025","passed","Thu Oct 16 21:54:41 GMT 2025","Mot de passe oublié","login/Forgot-password.spec.ts","",""
"","9384","should login successfully with valid credentials","webkit","Thu Oct 16 21:59:27 GMT 2025","failed","Thu Oct 16 21:59:36 GMT 2025","Login Tests","login/login.spec.ts","",""
"","30112","Reset filters restores full list","firefox","Thu Oct 16 21:58:55 GMT 2025","broken","Thu Oct 16 21:59:25 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","4214","should fail when login with invalid credentials","webkit","Thu Oct 16 21:59:37 GMT 2025","passed","Thu Oct 16 21:59:41 GMT 2025","Login Tests","login/login.spec.ts","",""
"","5483","email valide - lien envoyé","webkit","Thu Oct 16 21:59:05 GMT 2025","passed","Thu Oct 16 21:59:10 GMT 2025","Mot de passe oublié","login/Forgot-password.spec.ts","",""
"","2213","should fail with invalid email and password","chromium","Thu Oct 16 21:54:54 GMT 2025","passed","Thu Oct 16 21:54:56 GMT 2025","Login Tests","login/login.spec.ts","",""
"","31275","Filter by country","chromium","Thu Oct 16 21:55:46 GMT 2025","broken","Thu Oct 16 21:56:17 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","32045","mdp non identique - message d’erreur cohérent","webkit","Thu Oct 16 21:59:19 GMT 2025","broken","Thu Oct 16 21:59:51 GMT 2025","Mot de passe oublié","login/Forgot-password.spec.ts","",""
"","4195","should fail with invalid email and password","webkit","Thu Oct 16 21:59:41 GMT 2025","passed","Thu Oct 16 21:59:45 GMT 2025","Login Tests","login/login.spec.ts","",""
"","31782","Filter by country","webkit","Thu Oct 16 22:00:24 GMT 2025","broken","Thu Oct 16 22:00:56 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","2301","email non actif - avertissement affiché","chromium","Thu Oct 16 21:54:39 GMT 2025","passed","Thu Oct 16 21:54:41 GMT 2025","Mot de passe oublié","login/Forgot-password.spec.ts","",""
"","30114","Filter by category","firefox","Thu Oct 16 21:58:23 GMT 2025","broken","Thu Oct 16 21:58:53 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","4215","email non actif - avertissement affiché","webkit","Thu Oct 16 21:59:11 GMT 2025","passed","Thu Oct 16 21:59:15 GMT 2025","Mot de passe oublié","login/Forgot-password.spec.ts","",""
"","2247","should fail when login with invalid credentials","chromium","Thu Oct 16 21:54:52 GMT 2025","passed","Thu Oct 16 21:54:54 GMT 2025","Login Tests","login/login.spec.ts","",""
"","31336","Filter by name - partial match","chromium","Thu Oct 16 21:55:28 GMT 2025","broken","Thu Oct 16 21:56:00 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","2439","should fail with invalid email and password","firefox","Thu Oct 16 21:57:18 GMT 2025","passed","Thu Oct 16 21:57:20 GMT 2025","Login Tests","login/login.spec.ts","",""
"","2946","should fail when login with invalid credentials","firefox","Thu Oct 16 21:57:15 GMT 2025","passed","Thu Oct 16 21:57:18 GMT 2025","Login Tests","login/login.spec.ts","",""
"","30108","Create new supplier","firefox","Thu Oct 16 21:57:20 GMT 2025","broken","Thu Oct 16 21:57:51 GMT 2025","Suppliers module","suppliers/createsuplier.spec.ts","",""
"","31394","Reset filters restores full list","chromium","Thu Oct 16 21:56:32 GMT 2025","broken","Thu Oct 16 21:57:04 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","31358","Filter by code - valid supplier","chromium","Thu Oct 16 21:55:14 GMT 2025","broken","Thu Oct 16 21:55:46 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","31737","Reset filters restores full list","webkit","Thu Oct 16 22:01:22 GMT 2025","broken","Thu Oct 16 22:01:54 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","30138","Filter by active contracts","firefox","Thu Oct 16 21:58:33 GMT 2025","broken","Thu Oct 16 21:59:03 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","8662","should login successfully with valid credentials","firefox","Thu Oct 16 21:57:04 GMT 2025","failed","Thu Oct 16 21:57:13 GMT 2025","Login Tests","login/login.spec.ts","",""
"","31314","Filter by category","chromium","Thu Oct 16 21:56:00 GMT 2025","broken","Thu Oct 16 21:56:32 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","31290","Filter by active contracts","chromium","Thu Oct 16 21:56:18 GMT 2025","broken","Thu Oct 16 21:56:49 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
